# Radial distribution function (1000 data points):
# "Pair separation distance" C-C
0.00225 0.0 
0.00675 0.0 
0.01125 0.0 
0.01575 0.0 
0.02025 0.0 
0.02475 0.0 
0.02925 0.0 
0.03375 0.0 
0.03825 0.0 
0.04275 0.0 
0.04725 0.0 
0.05175 0.0 
0.05625 0.0 
0.06075 0.0 
0.06525 0.0 
0.06975 0.0 
0.07425 0.0 
0.07875 0.0 
0.08325 0.0 
0.08775 0.0 
0.09225 0.0 
0.09675 0.0 
0.10125 0.0 
0.10575 0.0 
0.11025 0.0 
0.11475 0.0 
0.11925 0.0 
0.12375 0.0 
0.12825 0.0 
0.13275 0.0 
0.13725 0.0 
0.14175 0.0 
0.14625 0.0 
0.15075 0.0 
0.15525 0.0 
0.15975 0.0 
0.16425 0.0 
0.16875 0.0 
0.17325 0.0 
0.17775 0.0 
0.18225 0.0 
0.18675 0.0 
0.19125 0.0 
0.19575 0.0 
0.20025 0.0 
0.20475 0.0 
0.20925 0.0 
0.21375 0.0 
0.21825 0.0 
0.22275 0.0 
0.22725 0.0 
0.23175 0.0 
0.23625 0.0 
0.24075 0.0 
0.24525 0.0 
0.24975 0.0 
0.25425 0.0 
0.25875 0.0 
0.26325 0.0 
0.26775 0.0 
0.27225 0.0 
0.27675 0.0 
0.28125 0.0 
0.28575 0.0 
0.29025 0.0 
0.29475 0.0 
0.29925 0.0 
0.30375 0.0 
0.30825 0.0 
0.31275 0.0 
0.31725 0.0 
0.32175 0.0 
0.32625 0.0 
0.33075 0.0 
0.33525 0.0 
0.33975 0.0 
0.34425 0.0 
0.34875 0.0 
0.35325 0.0 
0.35775 0.0 
0.36225 0.0 
0.36675 0.0 
0.37125 0.0 
0.37575 0.0 
0.38025 0.0 
0.38475 0.0 
0.38925 0.0 
0.39375 0.0 
0.39825 0.0 
0.40275 0.0 
0.40725 0.0 
0.41175 0.0 
0.41625 0.0 
0.42075 0.0 
0.42525 0.0 
0.42975 0.0 
0.43425 0.0 
0.43875 0.0 
0.44325 0.0 
0.44775 0.0 
0.45225 0.0 
0.45675 0.0 
0.46125 0.0 
0.46575 0.0 
0.47025 0.0 
0.47475 0.0 
0.47925 0.0 
0.48375 0.0 
0.48825 0.0 
0.49275 0.0 
0.49725 0.0 
0.50175 0.0 
0.50625 0.0 
0.51075 0.0 
0.51525 0.0 
0.51975 0.0 
0.52425 0.0 
0.52875 0.0 
0.53325 0.0 
0.53775 0.0 
0.54225 0.0 
0.54675 0.0 
0.55125 0.0 
0.55575 0.0 
0.56025 0.0 
0.56475 0.0 
0.56925 0.0 
0.57375 0.0 
0.57825 0.0 
0.58275 0.0 
0.58725 0.0 
0.59175 0.0 
0.59625 0.0 
0.60075 0.0 
0.60525 0.0 
0.60975 0.0 
0.61425 0.0 
0.61875 0.0 
0.62325 0.0 
0.62775 0.0 
0.63225 0.0 
0.63675 0.0 
0.64125 0.0 
0.64575 0.0 
0.65025 0.0 
0.65475 0.0 
0.65925 0.0 
0.66375 0.0 
0.66825 0.0 
0.67275 0.0 
0.67725 0.0 
0.68175 0.0 
0.68625 0.0 
0.69075 0.0 
0.69525 0.0 
0.69975 0.0 
0.70425 0.0 
0.70875 0.0 
0.71325 0.0 
0.71775 0.0 
0.72225 0.0 
0.72675 0.0 
0.73125 0.0 
0.73575 0.0 
0.74025 0.0 
0.74475 0.0 
0.74925 0.0 
0.75375 0.0 
0.75825 0.0 
0.76275 0.0 
0.76725 0.0 
0.77175 0.0 
0.77625 0.0 
0.78075 0.0 
0.78525 0.0 
0.78975 0.0 
0.79425 0.0 
0.79875 0.0 
0.80325 0.0 
0.80775 0.0 
0.81225 0.0 
0.81675 0.0 
0.82125 0.0 
0.82575 0.0 
0.83025 0.0 
0.83475 0.0 
0.83925 0.0 
0.84375 0.0 
0.84825 0.0 
0.85275 0.0 
0.85725 0.0 
0.86175 0.0 
0.86625 0.0 
0.87075 0.0 
0.87525 0.0 
0.87975 0.0 
0.88425 0.0 
0.88875 0.0 
0.89325 0.0 
0.89775 0.0 
0.90225 0.0 
0.90675 0.0 
0.91125 0.0 
0.91575 0.0 
0.92025 0.0 
0.92475 0.0 
0.92925 0.0 
0.93375 0.0 
0.93825 0.0 
0.94275 0.0 
0.94725 0.0 
0.95175 0.0 
0.95625 0.0 
0.96075 0.0 
0.96525 0.0 
0.96975 0.0 
0.97425 0.0 
0.97875 0.0 
0.98325 0.0 
0.98775 0.0 
0.99225 0.0 
0.99675 0.0 
1.00125 0.0 
1.00575 0.0 
1.01025 0.0 
1.01475 0.0 
1.01925 0.0 
1.02375 0.0 
1.02825 0.0 
1.03275 0.0 
1.03725 0.0 
1.04175 0.0 
1.04625 0.0 
1.05075 0.0 
1.05525 0.0 
1.05975 0.0 
1.06425 0.0 
1.06875 0.0 
1.07325 0.0 
1.07775 0.0 
1.08225 0.0 
1.08675 0.0 
1.09125 0.0 
1.09575 0.0 
1.10025 0.0 
1.10475 0.0 
1.10925 0.0 
1.11375 0.0 
1.11825 0.0 
1.12275 0.0 
1.12725 0.0 
1.13175 0.0 
1.13625 0.0 
1.14075 0.0 
1.14525 0.0 
1.14975 0.0 
1.15425 0.0 
1.15875 0.0 
1.16325 0.0 
1.16775 0.0 
1.17225 0.0 
1.17675 0.0 
1.18125 0.0 
1.18575 0.0 
1.19025 0.0 
1.19475 0.0 
1.19925 0.0 
1.20375 0.0 
1.20825 0.0 
1.21275 0.0 
1.21725 0.0 
1.22175 0.0 
1.22625 0.0 
1.23075 0.0 
1.23525 0.0 
1.23975 0.0 
1.24425 0.0 
1.24875 4.7095532841e-04 
1.25325 0.0 
1.25775 6.1898597471e-04 
1.26225 0.0016900961 
1.26675 0.0032036639 
1.27125 0.0053017054 
1.27575 0.0078213491 
1.28025 0.0165784107 
1.28475 0.0223949029 
1.28925 0.0350519488 
1.29375 0.0503114938 
1.29825 0.0721853762 
1.30275 0.1045743909 
1.30725 0.1468304292 
1.31175 0.1980371174 
1.31625 0.2669099102 
1.32075 0.3370864356 
1.32525 0.4316732081 
1.32975 0.5255278352 
1.33425 0.6369475167 
1.33875 0.7188593503 
1.34325 0.8593575305 
1.34775 1.0119823837 
1.35225 1.1305641385 
1.35675 1.2769431879 
1.36125 1.4298201397 
1.36575 1.5263243617 
1.37025 1.6618194396 
1.37475 1.7786720593 
1.37925 1.8753076576 
1.38375 1.9997999982 
1.38825 2.0686576259 
1.39275 2.1620776444 
1.39725 2.2424665928 
